"Article" "Mean" "Maximum" "Total(Year)"
"UK Global Health Insurance Card" 55 1971 160636
"Congenital cytomegalovirus infection" 54 2124 158163
"Diseases" 54 595 157686
"Gender disparities in health" 54 4066 158840
"Health geography" 54 284 158907
"Mental health in China" 54 871 159098
"Nutritional genomics" 54 316 156440
"Chloroquine and hydroxychloroquine during the COVID-19 pandemic" 53 2506 153641
"Health impact assessment" 53 955 155493
"Lytico-bodig disease" 53 15045 154865
"Western African Ebola epidemic" 53 6181 154434
"Dukes' disease" 52 1531 150871
"Cognitive epidemiology" 51 620 148564
"Consumer-driven healthcare" 51 992 149935
"Epidemiology of syphilis" 51 1411 149827
"Health advocacy" 51 261 148608
"Health human resources" 51 532 148182
"Health measures during the construction of the Panama Canal" 51 1692 148343
"List of diseases eliminated from the United States" 51 1332 150122
"Maternal mortality ratio" 51 295 147667
"Pandemic prevention" 51 601 149529
"American Journal of Public Health" 50 541 145931
"Environmental epidemiology" 50 601 145613
"Healthcare in Tanzania" 50 1379 146449
"Malaria No More" 50 1141 145250
"Morbidity and Mortality Weekly Report" 50 964 145458
"Trauma model of mental disorders" 50 1266 144871
"Nutrition education" 49 902 143711
"Dent's disease" 48 2281 141463
"Impact of the COVID-19 pandemic on children" 48 1554 141645
"Nutritional neuroscience" 48 3205 140559
"1974 smallpox epidemic in India" 47 7288 138643
"Biochemistry of Alzheimer's disease" 47 1004 136815
"Bloodstream infection" 47 600 136783
"Clinical mental health counseling" 47 499 137635
"Genetic epidemiology" 47 882 137937
"International health" 47 576 138376
"List of infections of the central nervous system" 47 669 136114
"Medical officer of health" 47 394 137091
"Mental health literacy" 47 299 136680
"National Health Policy" 47 333 138336
"Air pollution measurement" 46 404 135544
"Health services research" 46 399 135045
"List of diseases (M)" 46 862 133778
"List of diseases (P)" 46 660 135285
"Mental health law" 46 170 135146
"Nurses' Health Study" 46 303 133341
"2009 swine flu pandemic timeline" 45 8966 132523
"Air Quality Health Index (Canada)" 45 1018 131411
"Andersen healthcare utilization model" 45 618 130759
"Bat SARS-like coronavirus WIV1" 45 1959 131731
"Global Health Security Index" 45 2697 132509
"Healthy community design" 45 487 130974
"Mental health in the United Kingdom" 45 929 130854
"Pandemic predictions and preparations prior to the COVID-19 pandemic" 45 428 130289
"Undernutrition in children" 45 1661 132835
"Against Malaria Foundation" 44 778 129718
"Disease management (health)" 44 373 128341
"Epidemiology of diabetes" 44 315 128404
"Epidemiology of pneumonia" 44 388 128149
"Free-market healthcare" 44 1608 129281
"Health risk assessment" 44 287 129357
"Healthy city" 44 481 129172
"Mycoplasma hominis infection" 44 325 128249
"National Centre for Disease Control" 44 633 129390
"Autosomal recessive polycystic kidney disease" 43 336 126514
"Grossman model of health demand" 43 277 127069
"Homelessness and mental health" 43 491 124889
"Breastfeeding and mental health" 42 917 122941
"Disease mongering" 42 490 121808
"Dust pneumonia" 42 218 121609
"List of diseases (D)" 42 528 121968
"List of diseases (T)" 42 635 124105
"Mental health day" 42 1633 122777
"Convention on Long-Range Transboundary Air Pollution" 41 230 120632
"Ecosystem health" 41 939 120767
"Epidemiology of bed bugs" 41 857 120911
"Global mental health" 41 252 118515
"List of diseases (C)" 41 631 119167
"Royal College of Paediatrics and Child Health" 41 1410 119894
"Sexual health clinic" 41 415 118548
"Coinfection" 40 224 115637
"List of diseases (B)" 40 1075 118110
"List of diseases (H)" 40 539 115502
"List of diseases (S)" 40 1474 116552
"List of foodborne illness outbreaks" 40 461 118198
"Motor Neurone Disease Association" 40 573 116492
"Outline of air pollution dispersion" 40 524 117556
"Timeline of global health" 40 1609 118247
"1899–1923 cholera pandemic" 39 1142 115353
"Borna disease" 39 1821 112548
"Healthcare in Qatar" 39 442 112587
"Vermont health care reform" 39 957 115254
"Wilt disease" 39 175 114147
"Acronyms in healthcare" 38 520 111041
"Chinese Classification of Mental Disorders" 38 656 110290
"Health effect" 38 214 110546
"Infectious Diseases Society of America" 38 336 111516
"RAND Health Insurance Experiment" 38 190 109743
"2009 swine flu pandemic in India" 37 1645 106792
"Euro Health Consumer Index" 37 479 107990
"Healthcare in Rwanda" 37 1830 107737
"Healthcare reform in China" 37 3853 108034
"List of systemic diseases with ocular manifestations" 37 162 109034
"Prison healthcare" 37 2381 108686
"Africa Centres for Disease Control and Prevention" 36 529 104237
"Bills of mortality" 36 767 106172
"Disease of despair" 36 873 104053
"Health visitor" 36 520 105067
"International healthcare accreditation" 36 752 104974
"Non-specific interstitial pneumonia" 36 166 104466
"Nutrition transition" 36 2648 105932
"Nutritional anthropology" 36 597 106363
"Disease cluster" 35 659 103154
"Kashin–Beck disease" 35 234 100957
"Ministry of Health and Welfare (South Korea)" 35 252 101744
"Nutritional rating systems" 35 2501 102308
"Artificial intelligence in mental health" 34 1597 99053
"Climate change and infectious diseases" 34 1625 99900
"Farber disease" 34 845 99712
"Idiopathic multicentric Castleman disease" 34 2151 99402
"Mobile source air pollution" 34 268 97888
"Nigeria Centre for Disease Control" 34 551 100350
"Nutrition and cognition" 34 857 98889
"Pandemic fatigue" 34 482 99000
"Parasitic pneumonia" 34 1140 98102
"Southern tick-associated rash illness" 34 222 100652
"Value-based health care" 34 6074 99334
